Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bangladesh,BGD,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.6920181301375
Bangladesh,BGD,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7227471767688
Bangladesh,BGD,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7534762234002
Bangladesh,BGD,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.807252055005
Bangladesh,BGD,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.853345624952
Bangladesh,BGD,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117000845
Bangladesh,BGD,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7381117000845
Bangladesh,BGD,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.7534762234002
Bangladesh,BGD,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4795267726819
Bangladesh,BGD,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4948912959975
Bangladesh,BGD,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.3258815395252
Bangladesh,BGD,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.2797879695783
Bangladesh,BGD,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.4795267726819
Bangladesh,BGD,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.1338249980794
Bangladesh,BGD,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,74.0339555965276
Bangladesh,BGD,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,73.1351309825613
Bangladesh,BGD,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.827840516248
Bangladesh,BGD,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.8047937312745
Bangladesh,BGD,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.827840516248
Bangladesh,BGD,2016,Arable land (hectares),AG.LND.ARBL.HA,7764209.9609375
Bangladesh,BGD,2015,Arable land (hectares),AG.LND.ARBL.HA,7732240.234375
Bangladesh,BGD,2014,Arable land (hectares),AG.LND.ARBL.HA,7669000
Bangladesh,BGD,2013,Arable land (hectares),AG.LND.ARBL.HA,7678000
Bangladesh,BGD,2012,Arable land (hectares),AG.LND.ARBL.HA,7670000
Bangladesh,BGD,2011,Arable land (hectares),AG.LND.ARBL.HA,7678000
Bangladesh,BGD,2010,Arable land (hectares),AG.LND.ARBL.HA,7791000
Bangladesh,BGD,2009,Arable land (hectares),AG.LND.ARBL.HA,7796000
Bangladesh,BGD,2008,Arable land (hectares),AG.LND.ARBL.HA,7803000
Bangladesh,BGD,2007,Arable land (hectares),AG.LND.ARBL.HA,7816000
Bangladesh,BGD,2006,Arable land (hectares),AG.LND.ARBL.HA,7880000
Bangladesh,BGD,2005,Arable land (hectares),AG.LND.ARBL.HA,7911000
Bangladesh,BGD,2004,Arable land (hectares),AG.LND.ARBL.HA,8143000
Bangladesh,BGD,2003,Arable land (hectares),AG.LND.ARBL.HA,8228000
Bangladesh,BGD,2002,Arable land (hectares),AG.LND.ARBL.HA,8253000
Bangladesh,BGD,2001,Arable land (hectares),AG.LND.ARBL.HA,8303000
Bangladesh,BGD,2000,Arable land (hectares),AG.LND.ARBL.HA,8350000
Bangladesh,BGD,1999,Arable land (hectares),AG.LND.ARBL.HA,8436000
Bangladesh,BGD,1998,Arable land (hectares),AG.LND.ARBL.HA,8454000
Bangladesh,BGD,1997,Arable land (hectares),AG.LND.ARBL.HA,8390000
Bangladesh,BGD,1996,Arable land (hectares),AG.LND.ARBL.HA,8357000
Bangladesh,BGD,1995,Arable land (hectares),AG.LND.ARBL.HA,8404000
Bangladesh,BGD,1994,Arable land (hectares),AG.LND.ARBL.HA,8408000
Bangladesh,BGD,1993,Arable land (hectares),AG.LND.ARBL.HA,8506000
Bangladesh,BGD,1992,Arable land (hectares),AG.LND.ARBL.HA,8609000
Bangladesh,BGD,1991,Arable land (hectares),AG.LND.ARBL.HA,9385000
Bangladesh,BGD,1990,Arable land (hectares),AG.LND.ARBL.HA,9456000
Bangladesh,BGD,1989,Arable land (hectares),AG.LND.ARBL.HA,9553000
Bangladesh,BGD,1988,Arable land (hectares),AG.LND.ARBL.HA,9537000
